category,exam1_score,exam2_score,student_name
Category1,5,123,Miriam Sawayn
Category2,35,174,Dr. Lori Kiehn
Category1,79,176,Dr. Chris Dibbert-Kovacek
Category2,3,184,Ernestine Quigley
Category1,99,105,Rufus Lakin
Category2,63,132,Andre Goodwin Jr.
Category1,69,115,Bessie Bednar
Category2,99,138,Dr. Chester Gottlieb
Category1,80,141,Stanley Weimann
Category2,39,137,Mrs. Darla Ruecker-Pouros
Category1,66,196,Karl Franecki PhD
Category2,80,175,Kerry Walter
Category1,46,153,Krystal Larkin
Category2,72,187,Kristopher Flatley
Category1,84,133,Casey Dare
Category2,51,157,Danny Lakin
Category1,96,102,Genevieve Johnston
Category2,53,167,Mr. Jared Corkery
Category1,89,176,Natalie Cruickshank-Franey
Category2,17,131,Freddie Stoltenberg
Category1,99,188,Beatrice Dickens
Category2,47,184,Kristi Douglas
Category1,39,199,Maria Herman
Category2,69,121,Ana Reilly
Category1,41,176,Dr. Everett Kertzmann I
Category2,55,131,Sherman Schaefer
Category1,17,117,Cindy Mueller
Category2,100,107,Molly Bergstrom
Category1,54,173,Dr. Alexander Denesik
Category2,54,180,Sheldon Streich
Category1,3,108,Felicia Kuphal
Category2,90,190,Nathaniel Keebler
Category1,9,130,Angelina Fritsch III
Category2,4,182,Cecil Kuhn
Category1,2,119,Silvia Mante
Category2,11,112,Adam Jaskolski
Category1,83,145,Carolyn Hahn
Category2,79,179,Joyce Fay
Category1,20,128,Dana Rosenbaum
Category2,3,130,Joel Lockman
Category1,88,174,Angel Lowe
Category2,2,142,Margie Schoen
Category1,1,162,Mr. Russell Veum
Category2,12,175,Dr. Jorge Romaguera
Category1,23,161,Pat Kub
Category2,17,169,Deborah Hoeger
Category1,5,135,Cary Schmeler
Category2,79,140,Joel Hudson
Category1,52,191,Kim Hane
Category2,71,181,Mr. Frankie Mitchell Jr.
Category1,15,173,Kara Bins
Category2,84,143,Reginald Donnelly
Category1,96,172,Nicole Streich
Category2,61,160,Anna Mosciski
Category1,77,114,Kristin Anderson
Category2,71,179,William Cartwright
Category1,21,150,Jean Raynor
Category2,73,133,Minnie Prosacco
Category1,11,128,Sheila Dooley
Category2,78,126,Sonia Cassin
Category1,19,115,Clifton Mann V
Category2,73,199,Brent Ernser
Category1,56,167,Mr. Aubrey Corkery
Category2,70,102,Dr. Lloyd Labadie
Category1,52,178,Mrs. Tracey Stracke
Category2,72,150,Kerry Hessel
Category1,73,134,Dr. Jasmine Veum
Category2,91,156,Micheal Collins
Category1,70,118,Hubert Gleason
Category2,58,188,Lucas Steuber
Category1,31,140,Moses Gottlieb
Category2,53,165,Greg Kiehn
Category1,77,126,Dawn Waelchi
Category2,95,195,Steven Windler Jr.
Category1,44,176,Mr. Randolph Lang
Category2,100,176,Marion Williamson-McGlynn
Category1,18,135,Nathan Schinner
Category2,61,159,Bridget Kling I
Category1,57,169,Sylvia Gutmann
Category2,4,188,Henry Cassin-Franey
Category1,3,175,Kenneth Nikolaus DVM
Category2,4,186,Robyn Haag
Category1,60,118,Francis Jacobi
Category2,31,167,Hilda Dibbert
Category1,3,192,Jana Greenfelder
Category2,46,134,Gretchen Wisoky
Category1,85,146,Stacey Kuhn
Category2,57,154,Gregory Deckow
Category1,78,135,Fannie Murphy
Category2,17,174,Leah Anderson
Category1,90,128,Sonja Stokes-Crooks
Category2,39,119,Nicolas Hansen
Category1,30,155,Erma Haag
Category2,64,116,Clarence Mante
Category1,66,104,Brandon Okuneva
Category2,93,193,Leona Harber-Ritchie
Category1,47,113,Mrs. Rhonda Weimann
Category2,21,132,Tracey Gorczany
Category1,91,130,Drew Mayer V
Category2,45,188,Whitney Hermann
Category1,40,197,Wallace Von
Category2,41,170,Myron Quigley
Category1,9,174,Preston Sanford
Category2,95,169,Joe Yundt Jr.
Category1,45,152,Dr. Roderick Hand DVM
Category2,19,103,Craig Haag
Category1,47,108,Hector Oberbrunner
Category2,27,101,Carla Mills
Category1,78,121,Kara Maggio
Category2,25,103,Dallas Carter Jr.
Category1,69,115,Rebecca Feeney
Category2,39,109,Fernando Murazik
Category1,99,106,Bruce Vandervort
Category2,85,146,Dr. Gina Casper
Category1,16,108,Betty Legros
Category2,43,195,Donald Abshire-Gibson
Category1,55,146,Priscilla Cole
Category2,9,141,Miss Verna Robel
Category1,72,160,Camille O'Kon
Category2,98,122,Laurie Koepp
Category1,45,191,Jacquelyn Lockman
Category2,74,148,Drew Kertzmann
Category1,60,127,Harvey Romaguera
Category2,47,105,Ms. Karla Walter
Category1,93,191,Marcella Daugherty
Category2,76,167,Mark Turcotte MD
Category1,78,116,Gerald Denesik
Category2,96,106,Eduardo Howe
Category1,92,131,Paul Zboncak
Category2,29,108,Mr. Gary Padberg
Category1,2,149,Dixie Hills
Category2,53,197,Jorge Little
Category1,87,185,Dr. Freda Schimmel
Category2,88,152,Wendell Harvey
Category1,45,187,Richard Kreiger
Category2,12,186,Estelle Durgan
Category1,80,103,Carlton Legros
Category2,80,132,Kelly Durgan
Category1,25,158,Neil Zboncak-Hettinger
Category2,99,173,Casey Nader
Category1,37,178,Dolores McClure
Category2,51,182,Kate Waters
Category1,94,129,Cornelius Cormier PhD
Category2,92,143,Mr. Al Tremblay
Category1,69,191,Wilson Gulgowski
Category2,89,200,Myra Hills
Category1,98,136,Miss Vicki Kshlerin
Category2,14,169,Amber Kunze
Category1,3,157,Eddie Schamberger
Category2,27,141,Mr. Luis Bahringer
Category1,88,143,Javier Crist
Category2,72,118,Dr. Don Langosh
Category1,37,128,Rosalie O'Kon
Category2,96,171,Neal Johns
Category1,27,139,Micheal Maggio PhD
Category2,94,162,Jennie Crooks
Category1,20,197,Kendra Schaefer
Category2,50,177,Phil Kuphal DDS
Category1,9,147,Marta Torp-Ebert
Category2,39,170,Penny Lind
Category1,85,188,Rosie Stark
Category2,22,193,Amber Roberts
Category1,70,106,Justin Abernathy
Category2,20,109,Brandi Schoen
Category1,63,180,Nora Hartmann
Category2,27,199,Kerry Herman
Category1,60,150,Mr. Hector Shanahan
Category2,43,189,Mr. Bradley Zboncak DVM
Category1,23,120,Rhonda Hilpert
Category2,7,149,Marcia Hickle
Category1,32,146,Joyce Reinger
Category2,6,170,Sheila Rowe
Category1,61,109,Carmen Berge
Category2,15,145,Kyle Green
Category1,68,165,Jorge Bashirian
Category2,13,174,Floyd Cole
Category1,51,198,Sherry Marks
Category2,63,174,Ms. Tabitha Lebsack
Category1,82,134,Emmett Upton
Category2,24,103,Emanuel Upton
Category1,62,184,Joyce Marvin
Category2,36,192,Juanita Mueller
Category1,35,180,Lionel Hahn
Category2,65,103,Alexandra Ankunding
Category1,38,160,Johnathan Swaniawski
Category2,73,112,Ms. Grace Treutel IV
Category1,65,171,Kelli Brakus
Category2,58,168,Sergio Bogisich
Category1,54,189,Kimberly Heaney
Category2,34,113,Yvette McLaughlin
Category1,40,135,Jeffrey Williamson
Category2,12,161,Terry Nitzsche I
Category1,51,133,Mr. Ross Medhurst
Category2,46,129,Kristopher Gislason
Category1,66,135,Rosie Ferry
Category2,72,145,Darrin Kilback I
Category1,46,112,Woodrow Hauck
Category2,11,107,Mrs. Loretta Moen DVM
Category1,61,181,Willie Reichert-Cole
Category2,78,102,Greg Pacocha
Category1,16,152,Harriet Skiles
Category2,35,118,Lance Padberg
Category1,6,187,Mike Tromp
Category2,96,185,Clint Mosciski
Category1,16,134,Dora Metz
Category2,92,109,Sabrina Kiehn
Category1,29,108,Louis Deckow Sr.
Category2,20,154,Lana Cassin
Category1,54,112,Terri O'Kon
Category2,100,182,Marcia Hartmann
Category1,71,142,Elsa Gulgowski
Category2,56,160,Kelly Fay
Category1,79,180,Miss Kim Rutherford
Category2,80,169,Taylor McKenzie
Category1,17,192,Kristen Cormier-Hagenes
Category2,24,119,Ivan Swaniawski V
Category1,88,154,Mrs. Francis Jakubowski
Category2,49,132,Jesus Ebert
Category1,77,164,Ms. Andrea McGlynn
Category2,75,187,Devin Huel
Category1,9,107,Ethel Quitzon Jr.
Category2,57,188,Phyllis Jacobson
Category1,11,168,Arlene Heaney
Category2,100,146,Dr. Joe Dach
Category1,55,151,Philip Bartell
Category2,52,132,Sylvester Brekke
Category1,23,126,Antoinette Becker
Category2,16,185,Cameron Hudson
Category1,45,175,Sammy Lang-Kuvalis
Category2,81,165,April Stoltenberg
Category1,78,115,Kerry Kihn
Category2,65,122,Van Kassulke
Category1,66,140,Charlie Schneider
Category2,10,193,Bryan Koepp
Category1,58,200,Garrett Feest
Category2,42,141,Chris Keebler DDS
Category1,24,163,Edmund Mann
Category2,79,180,Brad Huels Jr.
Category1,47,108,Ebony Stark
Category2,44,114,Henry Stoltenberg
Category1,3,136,Lamar Hilpert
Category2,18,188,Caroline Hodkiewicz
Category1,36,113,Al Gleichner-Ankunding
Category2,30,119,Ervin Spencer IV
Category1,46,171,Patrick Jacobi
Category2,70,147,Zachary Smitham
Category1,89,156,Bridget Sanford
Category2,44,161,Jenny Reinger
Category1,10,173,Dr. Olive Bednar Jr.
Category2,62,150,Antonia Green
Category1,16,171,Preston Greenholt
Category2,24,144,Mitchell Casper
Category1,86,140,Mercedes Berge II
Category2,87,139,Donald Bogisich
Category1,15,196,Jimmy Steuber
Category2,71,102,Vickie Crooks
Category1,8,157,Lena Quigley
Category2,16,142,Michael Hudson DVM
Category1,75,159,Evelyn Tillman
Category2,18,105,Carol Cremin PhD
Category1,40,144,Tommie Fay
Category2,18,168,Marjorie Gutmann
Category1,52,141,Ken Herzog PhD
Category2,49,183,Bill Boyle
Category1,92,110,Jessie Heaney
Category2,64,164,Chester Dibbert
Category1,56,194,Dr. Paula Larson
Category2,41,141,Louise Hessel
Category1,99,151,Ricky Orn
Category2,72,113,Geraldine Mayert
Category1,12,149,Brenda Dicki
Category2,60,150,Mr. Guillermo Turcotte
Category1,93,185,Myron Feeney MD
Category2,89,124,Ollie Hauck Jr.
Category1,59,124,Harvey Lindgren
Category2,76,159,Jeannie Donnelly
Category1,88,104,Jared Nienow
Category2,44,116,Bruce Collier
Category1,84,158,Laurie Schumm
Category2,42,180,Mr. Mack Kozey
Category1,78,187,Melanie Kemmer
Category2,68,197,Roman Gottlieb
Category1,41,185,Dr. Marc Hodkiewicz
Category2,37,181,Florence Turner
Category1,42,147,Sophie Leannon
Category2,80,174,Corey Kling
Category1,90,174,Miriam Weimann
Category2,36,175,John Roberts
Category1,54,112,Tommy Reynolds
Category2,5,172,Sally Mohr
Category1,22,158,Jacquelyn Bartell
Category2,97,155,Dr. Patty Haag
Category1,99,195,Dr. Brian Swaniawski
Category2,37,181,Rene Larkin
Category1,74,113,Joanne McKenzie
Category2,45,184,Leland Littel
Category1,78,143,Cassandra Spinka
Category2,81,142,Mr. Jackie Stokes MD
Category1,29,161,Allan Koepp V
Category2,92,159,Kristen Brakus
Category1,82,173,Dustin O'Kon
Category2,60,101,Alfred Adams-Bauch
Category1,62,171,Joanne Spencer
Category2,9,119,Pauline Jerde
Category1,6,159,Miss Terry Boyle
Category2,25,113,Dawn Yundt
Category1,46,110,Verna Medhurst
Category2,5,141,Johnny Fisher
Category1,84,182,Philip Kreiger
Category2,52,147,Roberta Ebert
Category1,1,116,Dr. Robin Hoppe I
Category2,39,125,Tyler Quigley
Category1,93,175,Dr. Eloise Ferry
Category2,63,121,Saul Wilderman
Category1,33,112,Miss Loretta Strosin
Category2,95,161,Alton Cremin
Category1,84,154,Daryl Turcotte
Category2,48,165,Sylvia Dickens
Category1,28,111,Jeffery Stokes
Category2,55,158,Laura Tremblay
Category1,15,150,Randall O'Conner
Category2,2,131,Mr. Eddie Renner
Category1,35,182,Erma Cormier
Category2,42,191,Lindsey Kihn I
Category1,89,143,Stanley Keebler
Category2,93,149,Lola Robel
Category1,10,189,Doug Quigley
Category2,31,125,Brett Larson
Category1,2,193,Geraldine O'Keefe
Category2,22,113,Miss Mamie Jakubowski
Category1,13,192,Eric Schaden
Category2,87,124,Patty Mitchell
Category1,41,198,Jasmine Stokes
Category2,86,193,Jean Toy
Category1,63,116,Melba Fadel Jr.
Category2,50,198,Robin Feil Sr.
Category1,82,125,Bernice Hackett I
Category2,54,156,Nelson Gottlieb
Category1,25,175,Clay Nader II
Category2,86,110,Lila Ortiz
Category1,25,185,Lee Stiedemann
Category2,60,109,Jean Cummerata
Category1,74,185,Allison Hahn
Category2,53,131,Betty Doyle
Category1,13,135,Lauren Crist
Category2,40,162,Nora Corwin
Category1,23,128,Kristie Jacobson
Category2,34,143,Wanda Wuckert
Category1,18,130,Jack Simonis
Category2,82,122,Alison Weber
Category1,100,116,Dixie Lind
Category2,8,175,Rachael Braun
Category1,1,184,Andy O'Conner
Category2,32,128,Timothy Kuhic
Category1,81,186,Randall Will
Category2,45,178,Deborah Auer
Category1,40,121,Daryl Crist
Category2,12,176,Alberto Conroy
Category1,59,130,Laura McDermott
Category2,99,147,Gene Yundt
Category1,57,146,Marcia Blanda-Connelly
Category2,79,199,Ms. Gertrude Larson DDS
Category1,36,104,Marcia Buckridge
Category2,26,136,Miss Nettie Schuster III
Category1,100,192,Nellie Sauer
Category2,51,147,Dale Welch
Category1,99,180,Betsy Weber
Category2,20,169,Albert Cassin
Category1,22,123,Rudy Quigley-Russel
Category2,69,132,Sheri Bashirian
Category1,91,191,Carolyn Mraz
Category2,75,131,Dr. Traci Wisozk
Category1,57,152,Wilbur VonRueden
Category2,71,139,Agnes Rath
Category1,91,114,Corey Glover
Category2,12,127,Matt Daniel
Category1,74,116,Crystal Willms IV
Category2,28,160,Dr. Dawn Bogan
Category1,72,162,Dr. Phyllis Zboncak
Category2,58,154,Willie DuBuque
Category1,10,151,Johnnie Romaguera
Category2,64,120,Clint Macejkovic
Category1,77,108,Ellen Kiehn
Category2,71,113,Morris Brown
Category1,27,112,Dr. Virgil Ward
Category2,87,160,Clark Langosh
Category1,41,124,Joseph Schowalter
Category2,90,103,Martin Lehner DVM
Category1,58,188,Wanda Abshire
Category2,3,175,Elisa Gutkowski
Category1,43,192,Mrs. Sarah Sawayn
Category2,50,110,Ralph Bosco
Category1,42,112,Freda Kerluke
Category2,28,128,Shannon Rempel-Dicki
Category1,57,161,Freda Smith
Category2,83,160,Clifton Schroeder
Category1,77,112,Pamela Terry-Cartwright
Category2,25,128,Ethel Bednar
Category1,33,143,Van Hermann-Rodriguez
Category2,56,193,Abraham Torp
Category1,73,162,Kyle Muller
Category2,85,145,Jonathan Hauck
Category1,22,101,Robert Rau DDS
Category2,45,122,Steven Steuber I
Category1,21,150,Boyd Herzog
Category2,14,144,Jacob Adams
Category1,15,111,Troy Kris DVM
Category2,32,155,Johnny Little
Category1,53,130,Lynn Gutkowski
Category2,63,143,Wilbur Fisher II
Category1,11,182,Donald Schiller
Category2,52,148,Ramona Purdy
Category1,100,161,Cesar O'Conner
Category2,87,181,Sharon Waters DVM
Category1,84,200,Ana Runolfsdottir
Category2,68,146,Anita Altenwerth
Category1,6,194,Antoinette Corwin MD
Category2,55,102,Christian Bailey
Category1,57,166,Tabitha Mertz
Category2,52,116,Shelly Schuster
Category1,27,126,Bryan Kunze
Category2,12,103,Toni Medhurst
Category1,93,171,Eunice Trantow
Category2,17,166,Sonja Kirlin
Category1,38,170,Ira Swaniawski
Category2,39,176,Charlene Kuhlman
Category1,2,141,Lynda Osinski
Category2,65,183,Otis Dietrich
Category1,92,153,Dr. Tyrone Johns
Category2,42,176,Dr. Pat Russel
Category1,71,121,Gwen Gerlach
Category2,1,186,Marshall Breitenberg-Hintz
Category1,91,196,Miss Natalie Zemlak
Category2,97,121,Dean Wiza
Category1,34,151,Dixie Orn
Category2,33,182,Erma Wintheiser
Category1,1,151,Mrs. Meghan Beier
Category2,87,134,Brendan Kerluke
Category1,38,191,Samuel Smitham
Category2,95,194,Jeanette Lemke
Category1,56,159,Erin Rolfson
Category2,19,146,Julio Daniel PhD
Category1,57,190,Randall Koelpin
Category2,10,110,Mr. Lyle Pollich DDS
Category1,59,169,Theresa Upton
Category2,28,175,Grady Swift DDS
Category1,80,192,Mr. Alonzo Collins
Category2,100,177,Ted Gusikowski
Category1,77,195,Sonja Veum
Category2,44,162,Dr. Tricia Franey II
Category1,68,151,Kelly Ferry
Category2,57,198,Gertrude Orn-Borer
Category1,83,150,Courtney Feil
Category2,85,193,Randy Will
Category1,37,134,Gladys Bernhard MD
Category2,63,115,Raquel Casper
Category1,63,162,Tracy Berge
Category2,49,101,Shannon Willms
Category1,49,187,Paulette Schulist III
Category2,29,106,Ms. Katrina Lowe
Category1,52,128,Jesus Erdman
Category2,28,121,Jake Mann
Category1,84,157,Rochelle O'Hara
Category2,48,198,Dr. Andres McLaughlin I
Category1,16,128,Doug Williamson
Category2,15,155,Mr. Martin Labadie
Category1,46,140,Alan Rutherford
Category2,75,153,Santiago Collins PhD
Category1,29,104,Adrienne Marquardt
Category2,85,136,Jeremy Reynolds
Category1,14,130,Mabel Connelly
Category2,24,131,Maryann Stroman DVM
Category1,56,179,Betsy Weimann
Category2,55,112,Bobbie Jerde
Category1,25,171,Norman Waters
Category2,90,152,Rudy Carter
Category1,84,118,Bonnie Kling
Category2,20,113,Carolyn Pagac
Category1,55,131,Gerardo Bogisich MD
Category2,61,150,Miss Rita Cole
Category1,31,116,Julius Reynolds
Category2,2,119,Manuel Nitzsche
Category1,53,116,Elena Rosenbaum
Category2,79,197,Maxine Waters
Category1,39,128,Elsie Green
Category2,37,140,Marta McClure
Category1,36,171,Suzanne Witting
Category2,44,191,Rene Heidenreich IV
Category1,8,192,Conrad Champlin-Lueilwitz
Category2,100,181,Louise Gutmann
Category1,73,140,Patrick Hamill DDS
Category2,7,114,Lonnie Pacocha
Category1,58,120,Alexandra Moore
Category2,24,151,Ms. Sophie Ullrich
Category1,44,148,Teri Stiedemann
Category2,15,152,Donald Hickle PhD
Category1,16,149,Toni Bechtelar
Category2,78,190,Vivian Fahey
Category1,64,101,Jo Dietrich IV
Category2,79,147,Lionel Dooley
Category1,30,147,Olga Rowe
Category2,48,169,Marshall Pfannerstill
Category1,46,106,Miss Andrea Haag
Category2,69,183,Dwight Leffler
Category1,97,130,Johnnie Wilderman
Category2,95,173,Jody Gulgowski Sr.
Category1,93,138,Lucy Parisian
Category2,3,158,Garry Rogahn IV
Category1,52,189,Leo Kutch
Category2,47,104,Mrs. Maxine Satterfield
Category1,44,151,Brett Roob-Ritchie
Category2,65,121,Joanna Herman
Category1,67,136,Eleanor Johns IV
Category2,2,134,Sadie Hermiston
Category1,31,189,Sherman Dare
Category2,89,154,Chris Kulas
Category1,83,190,Phyllis Powlowski
Category2,75,105,Mr. Juan Miller
Category1,92,199,Lindsay Lueilwitz
Category2,77,147,Jeffery Sipes
Category1,66,176,Kendra Raynor II
Category2,69,135,Pete Crona
Category1,3,136,Mr. Phillip Rohan
Category2,66,118,Rickey Breitenberg
Category1,78,191,Mrs. Lola Kertzmann
Category2,71,154,Nicholas Legros
Category1,63,117,Sandy Price
Category2,81,199,Joseph Hansen
Category1,18,181,Lori Harris
Category2,4,117,Wendy Smith
Category1,26,181,Jacquelyn Kuhlman-Tromp
Category2,5,108,Lynn Little DVM
Category1,74,156,Celia Gerhold
Category2,78,193,Jerome Kris-Langosh
Category1,68,151,Jan Thompson
Category2,16,101,Fred Luettgen
Category1,23,160,Miss Darlene Armstrong
Category2,23,180,Helen Lang Jr.
Category1,93,149,Karen Langworth
Category2,60,150,Jason Koepp-Crona
Category1,47,112,Beth Willms
Category2,60,113,Mr. Eduardo Herzog
Category1,8,174,Alex Will
Category2,35,111,Regina Thompson
Category1,96,139,Boyd Shanahan III
Category2,48,164,Mr. Jermaine Prohaska DVM
Category1,94,177,Dominic Rutherford
Category2,6,115,Kelley Boyle
Category1,85,109,Irma Schimmel
Category2,5,144,Drew Wolff
Category1,80,172,Evelyn Green
Category2,24,129,Ms. Tonya Haley
Category1,34,186,Pat VonRueden
Category2,80,134,Cecilia Schumm
Category1,80,147,Daryl Pfeffer
Category2,42,183,Travis Pouros
Category1,66,138,Patrick Bartoletti
Category2,70,133,Lucy Mohr
Category1,51,176,Eloise Ruecker
Category2,71,125,Alfred Kohler
Category1,81,148,Tami Rempel
Category2,1,181,Fredrick Corkery
Category1,74,176,Kurt Upton II
Category2,24,115,Natalie Lubowitz-Langworth
Category1,87,186,Anita Ullrich
Category2,86,185,Dominick Kassulke DDS
Category1,26,163,Darlene McDermott
Category2,43,162,Marian Blanda
Category1,86,123,Miss Lisa Ullrich
Category2,5,181,Eileen Wuckert
Category1,47,124,Tyrone Watsica-Stoltenberg IV
Category2,9,161,Eunice Witting
Category1,30,103,Luther Rogahn
Category2,29,111,Johnny Strosin
Category1,9,104,Mrs. Latoya Rice
Category2,68,181,Mr. Jeremiah Denesik-Herzog I
Category1,1,168,Holly Kohler
Category2,53,167,Roy MacGyver
Category1,19,147,Rex Will
Category2,30,120,Bonnie Wunsch
Category1,10,122,Steve Dickinson
Category2,97,146,Randolph Wiza
Category1,45,145,Andre Wolff
Category2,53,108,Ms. Faith Rempel
Category1,28,198,Kerry Casper
Category2,23,161,Erica Boehm I
Category1,52,119,Tracy Kautzer
Category2,27,188,Eloise Gutkowski
Category1,13,160,Jane Boyer-O'Connell
Category2,71,171,Myra Lueilwitz
Category1,51,149,Beverly Hilll
Category2,34,114,Allen Sanford
Category1,44,165,Steven Waters
Category2,94,182,Annie Fadel
Category1,88,191,Tasha Cormier
Category2,58,189,Misty Stehr
Category1,80,128,Brad Pollich V
Category2,83,128,Diana Mraz
Category1,64,155,Mrs. Lisa Waters
Category2,88,122,Isaac Nolan
Category1,97,197,Shawna Greenholt DDS
Category2,82,181,Jacob Bechtelar-Pfeffer
Category1,38,114,Miss Doris Mraz
Category2,51,181,Glenn Price
Category1,25,132,Wendy Ernser
Category2,27,120,Angie Hackett
Category1,45,118,Morris Kub
Category2,88,101,Rosa Grimes
Category1,38,194,Dr. Ken Beier
Category2,22,171,Mr. Henry Windler
Category1,55,105,Jordan Lehner
Category2,80,166,Jake Padberg V
Category1,32,189,Norman Bogan-Stracke
Category2,49,111,Ethel Kunde
Category1,12,146,Roland Dibbert
Category2,22,150,Santos Torphy
Category1,57,190,Mr. Cody Walker
Category2,77,169,Shelly Leuschke
Category1,99,167,Juana Douglas V
Category2,9,146,Mr. Noel Armstrong
Category1,39,111,Dan O'Reilly
Category2,50,151,Lena Armstrong
Category1,78,129,Duane Connelly
Category2,14,184,Esther Brekke
Category1,24,178,Greg Gusikowski
Category2,83,189,Tom Hagenes
Category1,66,131,Vincent Windler
Category2,86,190,Robert Bradtke
Category1,30,108,Ramiro Smith
Category2,83,166,Joey Willms
Category1,44,153,Terry Fay
Category2,41,141,Jamie Keeling
Category1,60,125,Anna Considine
Category2,21,162,Mr. Gilbert Sanford III
Category1,8,178,Faith Pollich
Category2,96,164,Walter Rempel
Category1,53,178,Mrs. Kathleen Turner
Category2,75,174,Mr. Cesar Howe
Category1,48,154,Mrs. Mona Bruen
Category2,8,146,Dr. Lorenzo Jakubowski
Category1,40,102,Jessie Labadie
Category2,67,153,Cesar Thompson
Category1,82,158,Ernest Wuckert
Category2,33,192,Dr. Sam Welch
Category1,13,118,Gilberto Kshlerin
Category2,87,130,Amelia Stoltenberg
Category1,3,189,Angelica Howe
Category2,83,184,Patsy Schiller
Category1,51,158,Meredith Dicki
Category2,15,124,Shari Turner
Category1,100,113,Tricia Schneider IV
Category2,79,187,Rudolph Zieme
Category1,46,193,Eileen Kohler
Category2,30,130,Alonzo Hills
Category1,70,161,Warren Vandervort
Category2,41,128,Jeannette Huel
Category1,46,141,Brittany Denesik
Category2,85,152,Allen Boehm
Category1,47,104,Donnie Grady-Walter
Category2,56,189,Dr. Keith Sanford
Category1,52,110,Emma O'Hara
Category2,76,142,Forrest McDermott-Okuneva
Category1,10,198,Juanita Mraz
Category2,3,128,Dr. Jerome Hickle
Category1,98,135,Tracy Ernser
Category2,77,113,Dr. Alex Gerlach
Category1,82,175,Bert Hagenes
Category2,32,140,Molly Kshlerin
Category1,61,139,Mrs. Yvette Hoeger
Category2,7,116,Guadalupe Hessel
Category1,96,180,Dianna Doyle
Category2,99,165,Irving Lynch
Category1,85,160,Nichole Bogisich
Category2,74,114,Melody Wisoky
Category1,59,143,Lillian Nikolaus
Category2,43,110,Krista Weimann
Category1,4,124,Roman Hartmann
Category2,51,144,Carrie Schuster
Category1,77,152,Monica Farrell
Category2,16,139,Frank Rutherford
Category1,6,190,Ms. Jenna Rogahn
Category2,4,121,Colleen Reynolds
Category1,2,165,Kelvin Schaden
Category2,71,161,Lionel O'Keefe
Category1,3,198,Jessie Dach
Category2,77,190,Roger Haag
Category1,85,194,Sherman Koss
Category2,59,182,Marvin Bartell
Category1,18,121,Elaine Reynolds
Category2,60,151,Forrest Klocko
Category1,33,116,Sergio O'Reilly MD
Category2,70,120,Guy Kautzer-Krajcik
Category1,31,141,Gwen Lesch
Category2,31,150,Garry O'Kon
Category1,67,165,Derek Lindgren
Category2,2,185,Archie Sawayn
Category1,38,151,Wendy Aufderhar
Category2,89,167,Dolores MacGyver
Category1,94,114,Leah Gorczany
Category2,81,125,Stephanie Homenick
Category1,91,110,Sonia Collins
Category2,77,107,Bethany Spencer
Category1,35,158,Lindsey Barton
Category2,88,198,Jenny Cronin
Category1,26,166,Dawn Feeney DDS
Category2,94,131,Dexter Brekke
Category1,55,140,Dallas Schultz
Category2,12,167,Andre Crist
Category1,10,109,Alonzo Hamill DDS
Category2,66,148,Evelyn McClure
Category1,100,180,Betsy Bode
Category2,97,113,Monique Larkin
Category1,44,184,Sherman Strosin I
Category2,97,146,Alberta Schiller
Category1,47,169,Miss Roberta Hermiston DVM
Category2,53,103,Lynne Kilback
Category1,10,173,Felix Konopelski
Category2,96,160,Tommie Crona
Category1,82,105,Francis Roberts
Category2,8,159,Becky Labadie
Category1,66,104,Andres Heidenreich
Category2,28,136,Freddie Collier
Category1,26,148,Daryl Leuschke IV
Category2,38,184,Sandra Wuckert
Category1,9,120,Johnathan Fay
Category2,42,157,Alexis Boehm
Category1,86,138,Tamara Bosco
Category2,25,130,Martin Stanton
Category1,95,200,Duane Stroman
Category2,64,136,Alfredo Bashirian
Category1,20,165,Louis Hagenes
Category2,87,105,Bethany Tromp
Category1,45,159,Colin Deckow
Category2,67,157,Boyd Keeling
Category1,100,144,Mercedes Hickle
Category2,8,134,Arthur Wiza
Category1,99,192,Mr. Garrett Osinski
Category2,4,138,Yolanda Rippin
Category1,22,155,Mr. Geoffrey Dickinson Jr.
Category2,86,161,Cristina Windler
Category1,63,200,Larry Armstrong PhD
Category2,68,140,Gwendolyn Lebsack
Category1,8,101,Annette Upton
Category2,14,146,Brandi Willms
Category1,88,113,Dr. Margarita Cremin
Category2,28,124,Walter Mayer
Category1,62,121,Julie Sauer-Jerde
Category2,43,115,Adam Sawayn MD
Category1,79,130,Franklin Fadel-Hamill
Category2,68,183,Marlon Hand-Greenfelder
Category1,75,116,Jake Heathcote
Category2,84,106,Latoya Raynor
Category1,92,162,Margie Murray
Category2,96,103,Howard Erdman
Category1,53,161,Sandy D'Amore
Category2,53,174,Benny Maggio
Category1,21,149,Beatrice Jerde
Category2,44,152,Agnes Veum
Category1,22,105,Al Bayer
Category2,13,117,Alfred Mertz
Category1,24,128,Alberta Wuckert PhD
Category2,77,141,Edward Fay
Category1,84,102,Kelley Roberts
Category2,51,131,Francis Powlowski
Category1,89,186,Delia Hagenes
Category2,24,170,Tommie Hansen
Category1,8,195,Rex Kunze
Category2,80,164,Nora Kshlerin
Category1,31,123,Kristin Hills-Feest
Category2,55,123,Martin Sipes
Category1,82,154,Jack Franey
Category2,69,185,Dennis Boehm
Category1,80,145,Laura McKenzie PhD
Category2,53,186,Vanessa Oberbrunner
Category1,98,170,Angelo Hartmann
